date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-12-28,264.4326,264.4622,263.9982,264.4128,45116139,45116139,0.542901,0.206,264.1958,"Dec 28, 17",0.6237014548127462
2017-12-29,265.0643,265.0841,263.1987,263.4159,96007424,96007424,-0.996965,-0.377,263.95,"Dec 29, 17",0.6175797088900722
2018-01-02,264.3832,265.3407,263.9489,265.3012,86655749,86655749,1.8853,0.716,264.7287,"Jan 2, 18",0.6291569258506673
2018-01-03,265.4888,267.1471,265.4888,266.9793,90070416,90070416,1.6781,0.633,266.5465,"Jan 3, 18",0.6394617727087668
2018-01-04,267.6999,268.6475,267.053,268.1046,80636408,80636408,1.1253,0.421,268.1419,"Jan 4, 18",0.6463719950849179
2018-01-05,268.9929,270.0294,268.4402,269.8912,83523995,83523995,1.7866,0.666,269.3244,"Jan 5, 18",0.6573431168277704
2018-01-08,269.7826,270.5624,269.4569,270.3847,57319192,57319192,0.493546,0.183,270.2053,"Jan 8, 18",0.6603735929164849
2018-01-09,270.8585,271.6976,270.5437,270.9967,57253957,57253957,0.611999,0.226,271.1178,"Jan 9, 18",0.6641317517134318
2018-01-10,270.1478,270.8783,269.3977,270.5822,69574318,69574318,-0.41458,-0.153,270.2956,"Jan 10, 18",0.6615863974302054
2018-01-11,271.204,272.5564,271.0165,272.5564,62361455,62361455,1.9742,0.73,271.909,"Jan 11, 18",0.6737095299415337
2018-01-12,272.8525,274.5207,272.5187,274.3331,90816076,90816076,1.7768,0.652,273.8637,"Jan 12, 18",0.6846198579391413
2018-01-16,275.7447,276.4751,272.6156,273.3954,106555142,106555142,-0.937739,-0.342,274.4192,"Jan 16, 18",0.678861646331466
2018-01-17,274.4417,276.4356,273.3954,276.0013,113258799,113258799,2.6059,0.953,275.2547,"Jan 17, 18",0.694863911051996
2018-01-18,275.873,276.3468,274.9846,275.5374,100728006,100728006,-0.463933,-0.168,275.658,"Jan 18, 18",0.6920152021207806
2018-01-19,276.1889,276.791,275.5374,276.791,140920098,140920098,1.2536,0.455,276.2096,"Jan 19, 18",0.6997132868721742
2018-01-22,276.5541,279.0416,276.4949,279.0416,91322408,91322408,2.2506,0.813,278.1589,"Jan 22, 18",0.7135337316244766
2018-01-23,279.0909,279.9596,278.7257,279.6338,97084700,97084700,0.592256,0.212,279.4502,"Jan 23, 18",0.7171703029309341
2018-01-24,280.3544,281.0256,278.2025,279.5252,134816117,134816117,-0.10858,-0.039,279.6303,"Jan 24, 18",0.7165034139679463
2018-01-25,280.4926,280.6012,278.7602,279.6437,84587313,84587313,0.118451,0.042,279.6254,"Jan 25, 18",0.7172310966761789
2018-01-26,280.5814,282.9292,280.2952,282.8814,107743119,107743119,3.2377,1.158,281.7744,"Jan 26, 18",0.7371131076841452
2018-01-29,282.2397,282.7333,280.8282,281.0059,90118337,90118337,-1.8755,-0.663,281.6411,"Jan 29, 18",0.72559607039056
2018-01-30,278.9527,281.0612,277.5905,278.1236,131796419,131796419,-2.8823,-1.026,278.4781,"Jan 30, 18",0.707896493429056
2018-01-31,279.081,279.6437,277.0575,278.2618,118948131,118948131,0.138194,0.05,278.244,"Jan 31, 18",0.7087451495495429
2018-02-01,277.4425,279.4068,277.0575,277.9459,90102470,90102470,-0.315871,-0.114,278.0779,"Feb 1, 18",0.7068052764058247
2018-02-02,276.4652,276.6133,271.8555,271.895,173174790,173174790,-6.0509,-2.177,273.7162,"Feb 2, 18",0.6696480164965977
2018-02-05,269.9208,272.2898,259.9117,260.5237,294681816,294681816,-11.3713,-4.182,266.4465,"Feb 5, 18",0.5998193381833234
2018-02-06,256.5852,266.2192,255.3612,265.6566,355026782,355026782,5.1329,1.97,261.3261,"Feb 6, 18",0.6313393598971299
2018-02-07,265.0347,268.8449,264.1266,264.2154,167376100,167376100,-1.4412,-0.542,266.1851,"Feb 7, 18",0.6224892643772602
2018-02-08,264.551,264.709,254.2655,254.305,246449505,246449505,-9.9104,-3.751,259.2353,"Feb 8, 18",0.5616316549961099
2018-02-09,257.4341,260.2078,249.6558,258.125,283565315,283565315,3.8201,1.502,254.8516,"Feb 9, 18",0.5850894435652891
2018-02-12,260.425,263.5639,258.2873,261.9155,143735976,143735976,3.7904,1.468,261.2913,"Feb 12, 18",0.6083660790552039
2018-02-13,260.5632,263.179,259.9117,262.567,81223640,81223640,0.651482,0.249,261.6453,"Feb 13, 18",0.6123667987548951
2018-02-14,260.8988,266.5153,260.8889,266.1106,120735685,120735685,3.5437,1.35,264.3086,"Feb 14, 18",0.6341272750831001
2018-02-15,268.0651,269.5161,265.3012,269.5062,111200286,111200286,3.3956,1.276,267.7735,"Feb 15, 18",0.6549789156238083
2018-02-16,268.8054,271.7667,268.756,269.5852,160420135,160420135,0.078968,0.029,270.0269,"Feb 16, 18",0.6554640374292966
2018-02-20,268.5191,270.138,267.0089,267.8973,86369662,86369662,-1.6879,-0.626,268.5232,"Feb 20, 18",0.6450990109041871
2018-02-21,268.3908,271.1744,266.4561,266.5647,98883740,98883740,-1.3326,-0.497,268.8372,"Feb 21, 18",0.6369158043473057
2018-02-22,267.6011,269.526,266.16,266.9102,110511290,110511290,0.345483,0.13,267.5154,"Feb 22, 18",0.639037444648523
2018-02-23,268.2822,271.1646,267.7492,271.1646,92766428,92766428,4.2544,1.594,269.6415,"Feb 23, 18",0.6651627890696532
